Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments,customer_id
PMS 2925,,UV,EVEREST,UV,EPU2925E,1529475,INT,21/Feb/2017,,3
PMS 2925,,UV,SBS,AQ,EPU2925E,1529475,CLIENT,16/Oct/2019,,3
PMS 292C,,UV,N FLUTE,AQ,EPU0292C,1508857,,20/Nov/2017,,3
PMS 293,,UV,EVEREST,UV,EPU0293E,1613447,CLIENT,17/May/2017,,3
PMS 293,,UV,SBS,AQ,EPU0293E,1613447,CLIENT,16/Oct/2019,,3
PMS 293,Advil,UV,Everest,AQ,EPU0293E,1613447,Client,23/Apr/2020,,3
PMS 293,,UV,EVEREST,MATTE,EPS0192E,1543464,CLIENT,19/May/2017,,3
PMS 293,,C,EVEREST,AQ,EPC0293E,1610663,INT,28/Feb/2020,,3
PMS 2935,,UV,EVEREST,AQ,EPU2935E,1543247,CLIENT,19/Jun/2018,,3
PMS 2935,,UV,CCNB,AQ,EPU2935C,1543247,,11/May/2017,,3
PMS 2935,,C,EVEREST,AQ,EPC2935E,1580222,INT,11/Dec/2018,,3
PMS 2945,,UV,EVEREST,AQ,EPU2945E,1529467,INT,23/Sep/2014,,3
PMS 2945,,UV,EVEREST,UV,EPU2945E,1529467,,8/Nov/2018,,3
PMS 2945C BLUE,,UV,EVEREST,AQ,EPS0237E,1574701,,6/Sep/2018,,3
PMS 2945C WALGREENS BLUE,,UV,EVEREST,AQ,EPS0220E,1565425,CLIENT,5/Apr/2018,,3
PMS 295,Advil,C,Everest,,1613079-1319,1613079,Int,16/Apr/2020,Hard Dri for blister coating,3
PMS 2955C BLUE,,UV,CARTONMATE,AQ,EPS0140,1522854,,7/Jun/2016,,3
PMS 295C,,UV,EVEREST,UV,EPU0295E,1521966,,6/Feb/2017,,3
PMS 297,,C,EVEREST,AQ,EPC0297E,1574227,,28/Aug/2018,,3
PMS 2975,,UV,EVEREST,UV,EPU2975E,1565568,CLIENT,8/Apr/2015,,3
PMS 2985,,UV,EVEREST,AQ,EPU2985E,1569797,CLIENT,12/Jun/2018,,3
PMS 2985,,C,EVEREST,AQ,EPC2985E,1580198,INT,11/Dec/2018,,3
PMS 298C,,UV,EVEREST,AQ,EPU0298E,1527002,INT,6/Mar/2017,,3
PMS 298C,,UV,EVEREST,UV,EPU0298E,1527002,INT,12/Aug/2016,,3
PMS 2995,,UV,EVEREST,UV,EPU2995E,1557214,INT,29/Nov/2017,,3
PMS 2995,,UV,EVEREST,UV,EPU2995E,1557214,CLIENT,6/Apr/2018,,3
PMS 2995,,C,,,EPC2995E,1599272,INT,23/Aug/2019,,3
PMS 3005,,UV,EVEREST,UV,EPU3005E,1480880,CLIENT,6/May/2016,,3
PMS 3005,,UV,EVEREST,AQ,EPU3005E,1480880,INT,2/Feb/2017,,3
PMS 3005,,UV,EVEREST,UV,EPU3005C,1480880,,18/Sep/2017,,3
PMS 3005,,C,SBS,AQ,EPC3005C,1486466,INT,25/Sep/2014,OK TO COLOUR STANDARD,3
PMS 3005,,C,CCNB,AQ,EPC3005C,1486466,INT,6/Sep/2019,,3
PMS 3015,,UV,EVEREST,ST,EPU3015C,1553204,,17/Oct/2017,,3
PMS 3015,,UV,COLD FOIL,UV,EPU3015E,1553204,CLIENT,19/Jun/2019,,3
PMS 302,Advil,UV,Everest,UV,EPU0302E,1612679,Int,8/Apr/2020,,3
PMS 302,,C,EVEREST,AQ,EPC0302E,1489627,Int,16/Apr/2020,,3
PMS 304C,,UV,EVEREST,UV,EPU0304E,1575502,,19/Sep/2018,,3
PMS 306,,UV,EVEREST,MATTE AQ,EPU0306E,1595331,INT,3/Jul/2019,,3
PMS 306,,C,EVEREST,AQ,EPC0306E,1577629,INT,25/Oct/2018,,3
PMS 306C,,UV,PRINTKOTE,AQ,EPU0306C,1531303,INT,27/Oct/2016,,3
PMS 307,,C,EVEREST,AQ,EPC0307E,1601998,INT,9/Oct/2019,,3
PMS 308,,C,CCNB,AQ,EPC0308C,1528607,,13/Aug/2018,,3
PMS 3105,,UV,EVEREST,AQ,EPU3105E,1561409,INT,9/Feb/2018,,3
PMS 3105,,C,EVEREST,AQ,EPC3105E,1574905,,11/Sep/2018,,3
PMS 312,,UV,EVEREST,AQ,EPU0312E,1611271,CLIENT,10/Mar/2020,,3
PMS 312,,C,,AQ,EPC0312E,1542367,INT,28/Apr/2017,,3
PMS 3125,,UV,SBS,AQ,EPU3125C,1480133,,28/May/2014,,3
PMS 3125,,C,EVEREST,AQ,EPC3125,1607898,INT,20/Jan/2020,,3
PMS 3135,,C,EVEREST,AQ,EPC3135E,1534559,INT,19/Dec/2016,,3
PMS 3135,NOT EXIST,UV,EVEREST,AQ,EPU3135E,,INT,19/Dec/2016,,3
PMS 3155,,UV,EVEREST,,EPU3155E,1550897,CLIENT,28/Nov/2017,,3
PMS 319,,C,EVEREST,AQ,EPC0319E,1610512,INT,27/Feb/2020,,3
PMS 320,,C,EVEREST,AQ,EPC0320C,1477590,,13/Oct/2017,,3
PMS 320C,,UV,COLD FOIL,UV,EPU0320C,1494210,CLIENT,19/Jun/2019,,3
PMS 320C,,UV,EVEREST,UV,EPU0320E,1494210,,1/Mar/2017,,3
PMS 321,,C,CCNB,AQ,EPC0321C,1573329,INT,13/Aug/2018,,3
PMS 322C,,UV,EVEREST,UV,EPU0322E,1539182,INT,3/Mar/2017,,3
PMS 3242,,UV,EVEREST,,EPU3242E,1513154,,11/Jan/2016,,3
PMS 3248,,UV,EVEREST,UV,EPU3248E,1557785,CLIENT,12/Dec/2017,,3
PMS 325,,UV,EVEREST,AQ,EPU0325E,1605591,CLIENT,4/Dec/2019,,3
PMS 325,,C,EVEREST,AQ,EPC0325E,1611470,INT,13/Mar/2020,,3
PMS 3252,,C,EVEREST,AQ,EPC3252E,1612559,INT,6/Apr/2020,,3
PMS 3252,Advil,C,Everest,,1613083-1319,1613083,Int,16/Apr/2020,Hard Dri for blister coating,3
PMS 3255,,UV,EVEREST,AQ,EPU3255E,1567930,INT,14/May/2018,,3
PMS 3255,,UV,SBS,AQ,EPU3255E,1567930,CLIENT,16/Oct/2019,,3
PMS 3255,,C,EVEREST,AQ,EPC3255E,1610665,INT,28/Feb/2020,,3
PMS 3258,,UV,EVEREST,UV,EPU3258E,1546066,INT,4/Jul/2017,,3
PMS 326,,C,SBS,AQ,EPC0326C,1484157,,12/Aug/2014,,3
PMS 3265,,UV,SBS,AQ,EPU3265E,1497664,INT,26/Jul/2019,,3
PMS 3265,,UV,SBS,AQ,EPU3265E,1597664,CLIENT,16/Oct/2019,,3
PMS 3265,,C,EVEREST,AQ,EPC3265E,1610513,INT,27/Feb/2020,,3
PMS 326C GREEN,,UV,EVEREST,AQ,EPS0267E,1585703,,11/Mar/2109,,3
PMS 3272,,C,EVEREST,AQ,EPC3272E,1508266,INT,6/Apr/2020,,3
PMS 3272,Advil,C,Everest,,1613084-1319,1613084,Int,16/Apr/2020,Hard Dri for blister coating,3
PMS 3275,,UV,EVEREST,,EPU3275E,1513153,,11/Jan/2016,,3
PMS 3278,,UV,EVEREST,AQ,EPU3278E,1613775,INT,29/Nov/2017,RUN DENSITY DOWN TO MATCH PMS BOOK. SHADE IS GOOD,3
PMS 3278C Green,,UV,Foil Board,UV MATTE,EPS0308C,1613776,Int,30/Apr/2020,,3
PMS 3282,,UV,EVEREST,AQ,EPU3282C,1560737,INT,1/Feb/2018,,3
PMS 3282,,UV,CCNB,AQ,EPS0193C,1544101,,,,3
PMS 3288,,UV,EVEREST,UV,EPU3288E,1557812,CLIENT,12/Dec/2017,,3
PMS 328C,,UV,EVEREST,MATTE UV,EPU0328E,1578492,,8/Nov/2018,,3
PMS 329,,UV,EVEREST,UV,EPU0329E,1538140,INT,21/Feb/2017,,3
PMS 3295,,UV,EVEREST,AQ,EPU3295C,1560857,INT,1/Feb/2018,,3
PMS 3295C GREEN,,UV,EVEREST,AQ,EPS0278E,1585696,,11/Mar/2109,,3
PMS 3302,,C,EVEREST,AQ,EPC3302E,1567257,INT,2/May/2018,,3
PMS 333,,UV,EVEREST,UV,EPU0333E,1563826,CLIENT,20/Feb/2018,,3
PMS 3375,,UV,EVEREST,UV,EPU3375E,1546067,INT,4/Jul/2017,,3
PMS 3385,,UV,EVEREST,AQ,EPU3385E,1577887,,30/Oct/2018,,3
PMS 340,,C,EVEREST,AQ,EPC0340E,1585891,INT,13/Mar/2019,,3
PMS 3405,,UV,EVEREST,UV,EPU3405E,1546068,INT,4/Jul/2017,,3
PMS 340C,,UV,PRINTKOTE,AQ,EPU0340C,1531305,INT,27/Oct/2016,,3
PMS 342,,C,EVEREST,ST,EPC0342E,1585353,INT,6/Mar/2019,,3
PMS 343,,C,EVEREST,AQ,EPC0343E,1613312,Int,21/Apr/2020,,3
PMS 3435,,UV,EVEREST,AQ,EPU3435E,1536727,INT,2/Feb/2017,,3
PMS 3435,,UV,EVEREST,UV,EPU3435E,1536727,INT,23/Feb/2017,,3
PMS 344,HOMEOCAN,UV,EVEREST,AQ,EPU0344E,1557568,CLIENT,8/Dec/2017,,3
PMS 344,,UV,SBS,AQ,EPU0344E,1557568,INT,10/Oct/2019,,3
PMS 344,,C,,,EPC0344E,1599267,INT,23/Aug/2016,,3
PMS 348C,,UV,EVEREST,UV,EPU0348E,1488604,,28/Jan/2020,,3
PMS 348C,,UV,EVEREST,AQ,EPS0256E,1580332,CLIENT,12/Dec/2018,,3
PMS 348C GREEN,,UV,EVEREST,AQ,EPS0256E,1580332,CLIENT,12/Dec/2018,,3
PMS 349,,UV,EVEREST,AQ,EPU0349E,1528874,,14/Mar/2017,,3
PMS 349,,UV,CCNB,ST,EPU0349C,1528874,INT,1/Feb/2019,,3
PMS 349,,C,EVEREST,AQ,EPC0349E,1505400,,5/Oct/2018,,3
PMS 3517,,UV,Everest,AQ,EPU3517E,1613424,Int,23/Apr/2020,,3
PMS 354,HOMEOCAN,UV,EVEREST,UV,EPU0354E,1557567,INT,7/Dec/2017,,3
PMS 354,,C,CCNB,AQ,EPC0354C,1585893,INT,13/Mar/2019,,3
PMS 354,,C,EVEREST,AQ,EPC0354E,1585893,INT,7/Oct/2019,,3
PMS 355,,C,EVEREST,AQ,EPC0355E,1497599,,6/May/2016,,3
PMS 356C,,UV,EVEREST,AQ,EPU0356E,1536726,INT,2/Feb/2017,,3
PMS 3570,,UV,SBS,AQ,EPU3570E,1599916,INT,4/Sep/2019,,3
PMS 358C,,UV,EVEREST,UV,EPU0162E,1575567,,19/Sep/2018,,3
PMS 360C,,UV,COLD FOIL,UV,EPU0360E,1544140,CLIENT,19/Jun/2019,,3
PMS 360C,,UV,EVEREST,UV,EPU0360E,1544140,INT,30/May/2017,,3
PMS 361,,C,EVEREST,AQ,EPC0361Z,1519697,,16/Oct/2017,,3
PMS 362 GREEN,,UV,CCNB,AQ,EPS0195C,1544910,,14/Jun/2017,,3
PMS 362C,Advil,UV,EVEREST,AQ,EPU0362C,1593339,CLIENT,24/Apr/2020,,3
PMS 364,Advil,UV,Everest,UV,EPU0364E,1505359,Int,20/Feb/2020,,3
PMS 364,,C,EVEREST,AQ,EPC0364E,1609112,INT,4/Feb/2020,,3
PMS 366,,UV,EVEREST,AQ,EPU0366E,1528879,,14/Mar/2017,,3
PMS 367,,C,EVEREST,AQ,EPC0367E,1547874,,10/Aug/2017,,3
PMS 367C,,UV,EVEREST,MATTE,EPS0291E,1595398,INT,24/Jun/2019,,3
PMS 367C,,UV,CCNB,AQ,EPU0367C,1508125,,1/Aug/2018,,3
PMS 367C,,UV,EVEREST,,EPU0367E,1508125,,2/Oct/2015,,3
PMS 368,,C,EVEREST,AQ,EPC0368E,1608975,INT,3/Feb/2020,,3
PMS 368C,,UV,EVEREST,UV,EPU0368E,1546875,CLIENT,20/Jul/2017,,3
PMS 368C,Advil,UV,EVEREST,AQ,EPU0368E,1546875,Int,20/Apr/2020,,3
PMS 368C,,UV,CCNB,MATTE,EPU0368C,1521540,INT,26/Jun/2019,,3
PMS 368C,NORWEX,UV,CCNB,AQ,EPU0368C,1521540,,26/Apr/2018,,3
PMS 368C GREEN,,UV,MET POLY,UV,EPS0136C,1522512,CLIENT,6/Feb/2016,,3
PMS 370E,,UV,EVEREST,AQ,EPU0370E,1561728,INT,14/Feb/2018,,3
PMS 374C GREEN,,C,CCNB,AQ,EPS0104C,1473425,INT,25/Aug/2015,,3
PMS 376,,C,EVEREST,AQ,EPC0376E,1468923,,18/Sep/2018,,3
PMS 376C,,UV,SBS,UV,EPU0376C,1491221,,9/Apr/2015,,3
PMS 376C GREEN,,UV,CARTONMATE,AQ,EPS0139C,1522850,,7/Jun/2016,,3
PMS 377C,Advil,UV,Everest,AQ,EPU0377E,1613794,Int,30/Apr/2020,,3
PMS 382C,,UV,EVEREST,UV,EPU0382E,1510054,,1/Aug/2018,,3
PMS 382C GREEN,,C,EVEREST,AQ,EPS0382C,1490129,INT,11/Aug/2015,,3
PMS 389,,UV,EVEREST,AQ,EPU0389E,1611283,INT,10/Mar/2020,,3
PMS 3945,,UV,EVEREST,AQ,EPU3945E,1538929,INT,3/Mar/2017,,3
PMS 398,,C,CCNB,MATTE AQ,EPC0398C,1578970,,16/Nov/2018,,3
PMS 398C,,UV,CCNB,MATTE AQ,EPU0398C,1578069,CLIENT,2/Nov/2018,,3
PMS 405,,C,CCNB,,EPC0405C,1513519,INT,15/Jan/2016,,3
PMS 408,,C,EVEREST,AQ,EPC0408E,1610226,INT,24/Feb/2020,,3
PMS 417,,UV,EVEREST,SOFT TOUCH VARNISH,EPU0417E,1541956,,17/Oct/2017,,3
PMS 417,,UV,CCNB,AQ,EPU0417C,1541956,INT,24/Apr/2017,,3
PMS 422,,C,EVEREST,AQ,EPC0422E,1574256,,28/Aug/2018,,3
PMS 423,,C,EVEREST,AQ,EPC0423E,1598126,INT,15/Aug/2019,,3
PMS 423C,,UV,EVEREST,UV,EPU0423E,1593829,,3/Jun/2019,,3
PMS 424,,C,EVEREST,AQ,EPC0424E,1597977,,15/Aug/2019,,3
PMS 425,,UV,EVEREST,AQ,EPU0425E,1505814,INT,25/Aug/2015,,3
PMS 425,,C,EVEREST,AQ,EPC0425E,1508892,,26/Sep/2018,,3
PMS 427,,C,CONQUEST,AQ,EPC0427C,1573973,INT,23/Aug/2018,,3
PMS 429,,UV,POLY,AQ,EPU0429E,1524623,INT,14/Sep/2016,,3
PMS 429,Advil,UV,Everest,AQ,EPU0429E,1524623,Int,25/Mar/2020,,3
PMS 429,,C,Everest,AQ,EPC0429E,1608976,Int,3/Feb/2020,,3
PMS 429C GREY,,CONV,POLY,AQ,EPS0242C,1576719,,10/Oct/2018,,3
PMS 430,,UV,EVEREST,AQ,EPU0430E,1523141,INT,13/Jun/2016,,3
PMS 431,Advil,UV,EVEREST,AQ,EPU0431E,1523104,INT,25/Mar/2020,,3
PMS 431,,C,EVEREST,AQ,EPC0431E,1497450,Int,31/Jan/2020,,3
PMS 432,,UV,CCNB,MATTE,EPU0432C,1595607,INT,26/Jun/2019,,3
PMS 448,,UV,SBS,AQ,EPU448E,1602649,INT,16/Oct/2019,,3
PMS 4645,,UV,EVEREST,AQ,EPU4645E,1607459,CLIENT,14/Jan/2020,,3
PMS 4655,,UV,CCNB,AQ,EPU4655E,1594942,INT,18/Jun/2019,,3
PMS 4655,,C,CCNB,AQ,EPC4655C,1596154,INT,5/Jul/2019,,3
PMS 4665,,C,PRINTKOTE,AQ,EPC4665E,1575192,,14/Sep/2018,,3
PMS 467,,UV,CCNB,UV,EPU0467C,1550201,INT,22/Sep/2017,,3
PMS 4675,,UV,EVEREST,AQ,EPU4675E,1539184,,8/Mar/2017,,3
PMS 469,,UV,EVEREST,AQ,EPU0469E,1553423,CLIENT,11/Oct/2017,,3
PMS 471C BROWN,,AQ,EVEREST,AQ,EPS0081E,1488714,,18/Sep/2018,,3
PMS 4725,,UV,EVEREST,AQ,EPU4725E,1553394,CLIENT,11/Oct/2017,,3
PMS 4725,,C,EVEREST,AQ,EPC4725E,1607920,INT,20/Jan/2020,,3
PMS 4745,,UV,EVEREST,AQ,EPU4745E,1553422,CLIENT,11/Oct/2017,,3
PMS 477,,UV,EVEREST,AQ,EPU0477C,1603165,CLIENT,24/Oct/2019,,3
PMS 477,,C,,,EPC0477E,1599273,INT,23/Aug/2018,,3
PMS 484,,UV,EVEREST,UV,EPU0484E,1539904,CLIENT,23/Mar/2017,,3
PMS 485,,UV,POLY,AQ,EPU0485P,1508856,INT,14/Sep/2016,,3
PMS 485,,C,POLY,AQ,EPC0485C,1494418,,9/Oct/2018,,3
PMS 485C,,UV,EVEREST,UV,EPU0485E,1489768,INT,29/Aug/2016,,3
PMS 485C RED,,UV,MILLMASK,AQ,EPS0283C,1588524,,22/Apr/2019,,3
PMS 487,,UV,EVEREST,AQ,EPU0487T,1609954,CLIENT,25/Feb/2020,,3
PMS 488,,UV,EVEREST,UV,EPU0488E,1602566,,15/Oct/2019,,3
PMS 491,,UV,CCNB,MATTE AQ,EPU0491C,1577865,,30/Oct/2018,,3
PMS 497,,C,EVEREST,AQ,EPC0497E,1498700,,18/Sep/2018,,3
PMS 4975,,UV,CCNB,AQ,EPU4975E,1594944,INT,18/Jun/2019,,3
PMS 4975,,C,CCNB,AQ,EPC4975C,1596155,INT,5/Jul/2019,,3
PMS 497C MET BROWN,,UV,MET POLY,MATTE,EPS0232C,1569556,CLIENT,7/Jun/2018,,3
PMS 504C,,UV,EVEREST,UV,EPU0504E,1605103,CLIENT,25/Nov/2019,,3
PMS 5125,,UV,EVEREST,AQ,EPU5125E,1553399,CLIENT,11/Oct/2017,,3
PMS 512E,PFIZER,UV,EVEREST,UV,EPU0512C,1587763,CLIENT,9/Apr/2019,,3
PMS 513,,UV,EVEREST,UV,EPU0513E,1535170,INT,5/Jan/2017,,3
PMS 513C PURPLE,,UV,MET POLY,UV,EPS0135C,1522401,CLIENT,6/Feb/2016,,3
PMS 519C,,UV,N FLUTE,AQ,EPU0519C,1511091,,15/Dec/2017,LIGHT,3
PMS 5255,,UV,EVEREST,UV,EPU5255E,1608934,INT,5/Feb/2020,,3
PMS 5255,,C,EVEREST,AQ,EPC5255E,1608862,,31/Jan/2020,,3
PMS 526,,UV,EVEREST,AQ,EPU0526E,1507759,,11/Mar/2019,,3
PMS 526,,C,EVEREST,AQ,EPC0526E,1507759,,10/Apr/2017,,3
PMS 5265,,C,EVEREST,AQ,EPC05265E,1575897,INT,17/May/2016,,3
PMS 527,,C,EVEREST,AQ,EPC0527C,1560898,INT,2/Feb/2018,,3
PMS 534,,UV,EVEREST,AQ,EPU0534E,1609745,INT,20/Feb/2020,,3
PMS 542,,C,EVEREST,AQ,EPC0542E,1568616,INT,24/May/2018,,3
PMS 542C,,UV,EVEREST,AQ,EPU0542E,1544539,,7/Jun/2017,,3
PMS 544,,UV,EVEREST,AQ,EPU0544E,1561572,INT,13/Feb/2018,,3
PMS 544,,C,EVEREST,AQ,EPC0544E,1492509,INT,24/Oct/2018,,3
PMS 5455,,C,EVEREST,AQ,EPC5455C,1559684,INT,23/Jan/2018,,3
PMS 546,,UV,EVEREST,UV,EPU0546E,1524969,INT,12/Jul/2016,,3
PMS 550,,C,EVEREST,AQ,EPC0550C,1499593,INT,23/Apr/2020,,3
PMS 5555,,UV,CCNB,AQ,EPU5555E,1594941,INT,18/Jun/2019,,3
PMS 5555,,C,CCNB,AQ,EPC5555C,1596156,INT,5/Jul/2019,,3
PMS 5625,,C,EVEREST,AQ,EPC5625,1575897,,26/Sep/2018,,3
PMS 565,,UV,N FLUTE,AQ,EPU0565C,1534954,INT,4/Jan/2016,,3
PMS 569,,UV,EVEREST,AQ,EPU0569E,1611284,INT,10/Mar/2020,,3
PMS 570C,,UV,EVEREST,UV,EPU0570E,1556296,INT,13/Nov/2017,RUN DENSITY DOWN A BIT,3
PMS 571C GREEN,,C,EVEREST,AQ,EPS0103E,1505208,INT,14/Aug/2015,,3
PMS 571C GREEN,,UV,EVEREST,AQ,EPS0257,1580905,CLIENT,20/Dec/2018,,3
PMS 574,,UV,CCNB,UV,EPU0574C,1550155,INT,22/Sep/2017,,3
PMS 5753,,UV,EVEREST,UV,EPU5753E,1563824,INT,20/Feb/2018,,3
PMS 576C,,UV,EVEREST,AQ,EPU0576E,1602574,INT,22/Oct/2019,,3
PMS 577C,,UV,EVEREST,UV,EPS0176E,1535756,CLIENT,17/Jan/2017,,3
PMS 577C GREEN,,UV,EVEREST,UV,EPS0176E,1535756,CLIENT,17/Jan/2017,,3
PMS 580C,,UV,EVEREST,UV,EPS0177E,1535760,CLIENT,17/Jan/2017,,3
PMS 580C GREEN,,UV,EVEREST,UV,EPS0177E,1535760,CLIENT,17/Jan/2017,,3
PMS 622,,C,EVEREST,AQ,EPC0622E,1574288,,29/Aug/2018,,3
PMS 626C GREEN,,C,CCNB,AQ,EPS0105C,1497119,INT,25/Aug/2015,,3
PMS 627C,,UV,CCNB,ST,EPU0627C,1583438,INT,1/Feb/2019,,3
PMS 630,,C,EVEREST,AQ,EPC0630E,1534561,,20/Dec/2016,,3
PMS 632C,,UV,N FLUTE,AQ,EPU0632C,1556641,INT,20/Nov/2017,,3
PMS 638C,,UV,EVEREST,UV,EPU0638E,1535282,INT,10/Jan/2014,,3
PMS 641,,UV,CCNB,AQ,EPU0641C,1515824,,1/Aug/2018,,3
PMS 641,,UV,EVEREST,,EPU0641E,1515824,INT,18/Feb/2016,,3
PMS 641 ,,C,EVEREST,AQ,EPC0641E,1507758,INT,24/Sep/2015,,3
PMS 646,,UV,EVEREST,AQ,EPU0646E,1530499,,1/Nov/2017,,3
PMS 646,,C,EVEREST,AQ,EPC0646E,1534557,INT,20/Dec/2016,RUN DENSITY LOWER,3
PMS 646C,,UV,EVEREST,ST+UV,EPU0646E,1530499,,31/Oct/2016,,3
PMS 655,,UV,EVERFEST,AQ,EPU0655E,1520546,INT,24/Feb/2017,,3
PMS 659C,,UV,EVEREST,UV,EPU0659E,1508990,INT,27/Sep/2019,,3
PMS 660C,,UV,EVEREST,AQ,EPU0660C,1547854,,24/Feb/2018,,3
PMS 661,,C,EVEREST,AQ,EPC0661E,1505904,INT,26/Aug/2015,MORE RED,3
PMS 661C,,UV,EVEREST,AQ,EPU0661E,1584892,INT,26/Feb/2019,,3
PMS 667,,UV,SBS,,EPU0667C,1530498,,3/Oct/2013,,3
PMS 667C,,UV,EVEREST,UV,EPU0667E,1530498,,31/Oct/2016,,3
PMS 709C,,UV,EVEREST,UV,EPU0709E,1527975,,1/Mar/2017,,3
PMS 711C,,UV,CCNB,ST,EPU0711C,1583435,INT,1/Feb/2019,,3
PMS 715,,C,EVEREST,AQ,EPC0715C,1548550,,23/Aug/2017,,3
PMS 716C,,UV,EVEREST,UV,EPU0716E,1565519,CLIENT,5/Apr/2018,,3
PMS 716C,,UV,EVEREST,UV,EPU0716E,1565519,,21/Nov/2018,,3
PMS 720,,UV,EVEREST,AQ,EPU0720C,1560744,INT,1/Feb/2018,,3
PMS 720,,C,EVEREST,AQ,EPC0720E,1573974,INT,23/Aug/2018,,3
PMS 7321,,UV,,MATTE AQ,EPU7621C,1577729,,26/Oct/2018,,3
PMS 7401,,UV,EVEREST,UV,EPU7401E,1488571,INT,3/Mar/2017,,3
PMS 7404,,C,EVEREST,AQ,EPC7404E,1525073,INT,19/Jul/2016,,3
PMS 7406,,UV,EVEREST,UV,EPU7406E,1579067,,19/Nov/2018,,3
PMS 7413,,UV,EVEREST,AQ,EPU7413E,1607524,CLIENT,14/Jan/2020,,3
PMS 7414,,UV,EVEREST,AQ,EPU7414E,1567928,INT,14/May/2018,,3
PMS 7424,,C,EVEREST,AQ,EPC7424E,1607913,INT,20/Jan/2020,,3
PMS 7427,,UV,CCNB,ST,EPU7427C,1525609,INT,1/Feb/2019,,3
PMS 7427,,C,CONQUEST,AQ,EPC7427C,1574061,INT,24/Aug/2018,,3
PMS 7428,,UV,CCNB,AQ,EPU7428E,1594943,INT,18/Jun/2019,,3
PMS 7428,,C,CCNB,AQ,EPC7428C,1596158,INT,5/Jul/2019,,3
PMS 7434,,UV,CCNB,MATTE AQ,EPU7434C,1578094,CLIENT,2/Nov/2018,,3
PMS 7434,,C,CCNB,MATTE AQ,EPC7434C,1579403,,27/Nov/2018,,3
PMS 7437,,UV,N FLUTE,AQ,EPU7437C,1534960,INT,4/Jan/2016,,3
PMS 7444,,C,EVEREST,AQ,EPC7444E,1520491,INT,27/Apr/2016,,3
PMS 7459,,UV,EVEREST,UV,EPU7459E,1545600,INT,26/Jun/2017,,3
PMS 7461,,C,EVEREST,AQ,EPC7461E,1525068,INT,29/Jul/2016,,3
PMS 7463,,C,EVEREST,AQ,EPC7463E,1506780,,5/Nov/2018,,3
PMS 7467,,UV,CARTONMATE,AQ,EPU7467C,1531190,INT,26/Oct/2016,,3
PMS 7467,,UV,,UV,EPU7467E,1531190,INT,8/May/2017,,3
PMS 7471,,UV,EVEREST,MATTE AQ,EPU7471E,1594098,INT,3/Jul/2019,,3
PMS 7473,,UV,,MATTE AQ,EPU7473C,157774,,26/Oct/2018,,3
PMS 7473,,C,CCNB,MATTE AQ,EPC7473C,1579381,,27/Nov/2018,,3
PMS 7481,,UV,CCNB,MATTE,EPU7481C,1595634,INT,26/Jun/2019,,3
PMS 7489,,UV,EVEREST,ST+UV,EPU7489E,1530500,,31/Oct/2016,,3
PMS 7489,,UV,CCNB,ST,EPU7489E,1530500,INT,1/Feb/2019,,3
PMS 7489,,C,EVEREST,AQ,EPC7489C,1499295,CLIENT,31/Aug/2016,,3
PMS 7493,,UV,EVEREST,UV,EPU7493E,1524966,,13/Jul/2016,,3
PMS 7493,,C,EVEREST,AQ,EPC7493E,1578070,,1/Nov/2018,,3
PMS 7496,,UV,CCNB,AQ,EPU7496C,1597077,INT,18/Jul/2019,,3
PMS 7496,,C,CCNB,AQ,EPC7496E,1576233,INT,2/Oct/2018,,3
PMS 7499C YELLOW,,UV,MET POLY,UV,EPS0227C,1570724,,30/May/2018,,3
PMS 7511,,UV,EVEREST,UV,EPU7511E,1601204,,25/Sep/2019,,3
PMS 7511,,C,,,EPC7511E,1599269,,23/Aug/2019,,3
PMS 7522,,UV,SBS,AQ,EPU7522C,1491270,,17/Dec/2014,,3
PMS 7522,,C,EVEREST,AQ,EPC7522E,1610228,INT,24/Feb/2020,,3
PMS 7544,,UV,EVEREST,,EPU7544E,1508160,,2/Oct/2015,,3
PMS 7544,,C,EVEREST,AQ,EPC7544E,1598648,INT,14/Aug/2019,,3
PMS 7545,Advil,UV,EVEREST,UV,EPU7545E,1598782,,25/Mar/2020,,3
PMS 7545,,UV,SBS,UV,EPU7545E,1598782,,27/Aug/2019,,3
PMS 7545,,C,EVEREST,AQ,EPC7545E,1609073,INT,4/Feb/2020,,3
PMS 7547,Advil,UV,Everest,UV,EPU7547E,1610617,,9/Mar/2020,,3
PMS 7547,,C,EVEREST,AQ,EPC7547E,1609156,INT,5/Feb/2020,,3
PMS 7548,,UV,EVEREST,AQ,EPU7548E,1550896,INT,4/Oct/2017,,3
PMS 7548,,C,EVEREST,AQ,EPC7548E,1585894,INT,13/Mar/2019,,3
PMS 7549,,UV,EVEREST,AQ,EPU7549,1577840,,30/Oct/2018,,3
PMS 7580,,UV,EVEREST,UV,EPU7580E,1565520,,21/Nov/2018,,3
PMS 7589,,UV,EVEREST,AQ,EPU7589E,1567954,INT,14/May/2018,,3
PMS 7597,,UV,EVEREST,AQ,EPU7597E,1600285,,10/Sep/2019,,3
PMS 7597,,C,EVEREST,AQ,EPC7597E,1588782,INT,25/Apr/2019,,3
PMS 7608,,UV,CONQUEST,,EPU7608C,1514216,,26/Jan/2016,,3
PMS 7621,,C,CCNB,AQ,EPC7621C,1578068,,1/Nov/2018,,3
